Rank,Player,Age,Tm,First,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG_pct,X3P_pct,FT_pct,WS,WS48,WinPct,pra,Fitted,SeasonID,WinPct_Rounded,PositiveMedia,NegativeMedia,Media
3,James Harden,30,HOU,0,367,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,0.61111,48.4,0,2020,6,0,0,0
1,Giannis Antetokounmpo,24,MIL,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,0.73171,46.1,0,2019,7,0,0,0
2,James Harden,29,HOU,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,0.64634,50.2,0,2019,6,0,0,0
3,Paul George,28,OKC,0,356,1010,0.352,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,0.59756,40.3,0,2019,6,0,0,0
1,James Harden,28,HOU,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,0.79268,44.6,0,2018,8,0,0,0
2,LeBron James,33,CLE,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,0.60976,45.2,0,2018,6,0,0,0
3,Anthony Davis,24,NOP,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,0.58537,41.5,0,2018,6,0,0,0
1,Russell Westbrook,28,OKC,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,0.57317,52.7,0,2017,6,2,0,2
2,James Harden,27,HOU,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,0.67073,48.4,0,2017,7,0,0,0
3,Kawhi Leonard,25,SAS,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,0.7439,34.8,0,2017,7,0,0,0
1,Stephen Curry,27,GSW,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,0.89024,42.2,0,2016,9,2,0,2
2,Kawhi Leonard,24,SAS,0,634,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,0.81707,30.6,0,2016,8,0,0,0
3,LeBron James,31,CLE,0,631,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,0.69512,39.5,0,2016,7,0,0,0
1,Stephen Curry,26,GSW,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,0.81707,35.8,0,2015,8,0,0,0
2,James Harden,25,HOU,25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,0.68293,40.1,0,2015,7,0,0,0
3,LeBron James,30,CLE,5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,0.64634,38.7,0,2015,6,0,0,0
1,Kevin Durant,25,OKC,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,0.71951,44.9,0,2014,7,0,0,0
2,LeBron James,29,MIA,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,0.65854,40.3,0,2014,7,0,1,-1
3,Blake Griffin,24,LAC,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,0.69512,37.5,0,2014,7,0,0,0
